state,x,y
Andhra Pradesh,-53.0,-123.0
Arunachal Pradesh,206.0,131.0
Assam,148.0,81.0
Bihar,36.0,50.0
Chhattisgarh,-19.0,-26.0
Goa,-155.0,-142.0
Gujarat,-228.0,12.0
Haryana,-117.0,126.0
Himachal Pradesh,-103.0,179.0
Jharkhand,40.0,17.0
Karnataka,-147.0,-153.0
Kerala,-108.0,-244.0
Madhya Pradesh,-100.0,8.0
Maharashtra,-161.0,-71.0
Manipur,192.0,47.0
Meghalaya,135.0,58.0
Mizoram,184.0,7.0
Nagaland,202.0,81.0
Odisha,30.0,-35.0
Punjab,-138.0,153.0
Rajasthan,-183.0,81.0
Sikkim,104.0,100.0
Tamil Nadu,-74.0,-238.0
Telangana,-63.0,-97.0
Andhra Pradesh,-63.0,-97.0
Uttar Pradesh,-71.0,-147.0
Uttarakhand,-41.0,92.0
West Bengal,95.0,7.0
